name,domain,website,linkedin_url,industry,vertical,tier,status,headquarters,address,city,state,zip,phone,estimated_employees,estimated_revenue,total_beds,acute_beds,description,keywords,founded_year,twitter_url,facebook_url,logo_url,rural_urban,pay_type,source,source_id,apollo_id,recallwire_package,recallwire_price,recallwire_price_monthly,entity_type,parent_system,parent_system_id,tier,segment,individual_price,system_price,effective_price,priority_score,region,in_vantage,system_in_vantage
Dale Medical Center,dalemedical.org,http://www.dalemedical.org,http://www.linkedin.com/company/dale-medical-center,Healthcare,healthcare,Enterprise,new,"Ozark, AL",126 Hospital Ave,Ozark,AL,36360,+1 (334) 774-2601,534,133500000,89,77.0,,,1952,https://twitter.com/dale_medical,https://facebook.com/pages/Dale-Medical-Center/247878782174,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696a119397c9a00001ba4640/picture,Rural,PPS,us_hospital_list_2024,10021,54a1a1ee7468695860b28303,Enterprise,22000,1833.33,independent,,,Enterprise,community,23670,,23670,36,Southeast,false,false
Floyd Cherokee Medical Center,,,http://www.linkedin.com/company/floyd-cherokee-medical-center-llc,Healthcare,healthcare,Enterprise,new,"Centre, AL",400 Northwood DR,Centre,AL,35960,+1 (256) 927-5531,360,90000000,60,45.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Rural,PPS,us_hospital_list_2024,10022,67345985ab0b110001084f40,Enterprise,20500,1708.33,independent,,,Enterprise,community,22800,,22800,36,Southeast,false,false
Baptist Medical Center South,,,http://www.linkedin.com/company/baptist-medical-center-south---emergency-room,Healthcare,healthcare,Enterprise Plus,new,"Montgomery, AL",2105 East South Boulevard,Montgomery,AL,36116,+1 (334) 288-2100,2592,648000000,432,348.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Urban,PPS,us_hospital_list_2024,10023,674945d6f0db7c0001f901a6,Enterprise Plus,46600.0,3883.33,system_member,Baptist Health (Multi-state),baptist_health_system,Enterprise Plus,regional,57960,4500.0,4500.0,35,Southeast,false,false
Jackson Hospital & Clinic Inc,,,,Healthcare,healthcare,Enterprise,new,"Montgomery, AL",1725 Pine Street,Montgomery,AL,36106,+1 (334) 293-8000,2064,516000000,344,278.0,,,,,,,Urban,RRC,us_hospital_list_2024,10024,,Enterprise,36700.0,3058.33,independent,,,Enterprise,community,31320,,31320,42,Southeast,false,false
East Alabama Medical Center,eamcfoundation.org,http://www.eamcfoundation.org,http://www.linkedin.com/company/east-alabama-medical-center-foundation,Healthcare,healthcare,Enterprise Plus,new,"Opelika, AL",2000 Pepperell Parkway,Opelika,AL,36801,+1 (334) 528-5874,2574,643500000,429,265.0,,,1987,,https://facebook.com/pages/EAMC-Foundation/106087076126395,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f3a6e61dff3d00011a75a7/picture,Urban,SCH/RRC,us_hospital_list_2024,10029,5e57978385593a0001d5bf59,Enterprise Plus,46500.0,3875.0,system_member,East Alabama Medical Center,east_alabama_medical,Enterprise Plus,regional,57870,5000.0,5000.0,35,Southeast,false,false
University of Alabama Hospital,,,http://www.linkedin.com/company/university-of-south-alabama-medical-center-hospital-and-clinics-a,Healthcare,healthcare,Enterprise Premier,new,"Birmingham, AL",619 South 19th Street,Birmingham,AL,35233,+1 (205) 934-4011,6942,1735500000,1157,1149.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10033,6724999bfa829d0001330cb2,Enterprise Premier,85900.0,7158.33,system_member,UAB Medicine,uab_medicine,Enterprise Premier,academic,109710,7000.0,7000.0,36,Southeast,false,false
Community Hospital Inc,pchmc.org,http://www.pchmc.org,http://www.linkedin.com/company/parkview-community-hospital-medical-center-inc.,Healthcare,healthcare,Enterprise,new,"Tallassee, AL",805 Friendship Road,Tallassee,AL,36078,+1 (951) 688-2211,414,103500000,69,37.0,,,1958,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670ee16cb39ecf0001236c25/picture,Rural,PPS,us_hospital_list_2024,10034,5a9dd803a6da98d9356808d8,Enterprise,21000,1750.0,independent,,,Enterprise,community,23070,,23070,36,Southeast,false,false
Cullman Regional Medical Center,cullmanregional.com,http://www.cullmanregional.com,http://www.linkedin.com/company/cullman-regional-medical-center,Healthcare,healthcare,Enterprise,new,"Cullman, AL",1912 Alabama Highway 157,Cullman,AL,35058,+1 (256) 737-2000,690,172500000,115,137.0,,,1939,https://twitter.com/cullmanregional,https://facebook.com/CullmanRegionalMedicalCenter,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6967f9a0809917000100ffcc/picture,Rural,SCH/RRC,us_hospital_list_2024,10035,54a11cbf69702d9a8b6fd000,Enterprise,23200,1933.33,independent,,,Enterprise,community,24450,,24450,36,Southeast,false,false
Andalusia Health,andalusiagroup.net,http://www.andalusiagroup.net,http://www.linkedin.com/company/andalusiahealthegypt,Healthcare,healthcare,Enterprise,new,"Andalusia, AL",849 South Three Notch Street,Andalusia,AL,36420,+1 (052) 783-2870,528,132000000,88,83.0,,,1984,https://twitter.com/AndalusiaGroup,https://www.facebook.com/AndalusiaGMS,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6969caaaf292a400018e3098/picture,Rural,MDH,us_hospital_list_2024,10036,5e560e2d1a4593000106199a,Enterprise,21900,1825.0,independent,,,Enterprise,community,23640,,23640,36,Southeast,false,false
Huntsville Hospital,huntsvillehospital.org,http://www.huntsvillehospital.org,http://www.linkedin.com/company/huntsville-hospital,Healthcare,healthcare,Enterprise Premier,new,"Huntsville, AL",101 Sivley Rd,Huntsville,AL,35801,+1 (256) 265-1000,5286,1321500000,881,904.0,,,1895,https://twitter.com/hsvhospital,https://www.facebook.com/HuntsvilleHospitalFan,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696dfe6abc26ee00010f9ebb/picture,Urban,RRC,us_hospital_list_2024,10039,55f63580f3e5bb18db0085d4,Enterprise Premier,77600.0,6466.67,system_member,Huntsville Hospital Health System,huntsville_hospital,Enterprise Premier,community,101430,6000.0,6000.0,32,Southeast,false,false
Gadsden Regional Medical Center,gadsdenregional.com,http://www.gadsdenregional.com,http://www.linkedin.com/company/gadsdenregional,Healthcare,healthcare,Enterprise,new,"Gadsden, AL",1007 Goodyear Avenue,Gadsden,AL,35903,+1 (256) 494-4000,2076,519000000,346,175.0,,,1906,,https://facebook.com/GadsdenRegionalMedicalCenterAL,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f2cd28ae2ee00015905c2/picture,Urban,RRC,us_hospital_list_2024,10040,55e86cdbf3e5bb5e6a000666,Enterprise,36800.0,3066.67,independent,,,Enterprise,regional,31380,,31380,44,Southeast,false,false
Marion Regional Medical Center,,,http://www.linkedin.com/company/marion-regional-medical-center-inc,Healthcare,healthcare,Enterprise,new,"Hamilton, AL",1256 Military Street South,Hamilton,AL,35570,+1 (205) 921-6200,342,85500000,57,36.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,MDH,us_hospital_list_2024,10044,674cbd21a3c1bb00010d6d19,Enterprise,20400,1700.0,independent,,,Enterprise,community,22710,,22710,36,Southeast,false,false
Fayette Medical Center,,,http://www.linkedin.com/company/fayette-medical-center,Healthcare,healthcare,Enterprise,new,"Fayette, AL",1653 Temple Avenue North,Fayette,AL,35555,+1 (205) 932-5966,366,91500000,61,35.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,MDH,us_hospital_list_2024,10045,6743b226ac14570001493886,Enterprise,20600,1716.67,independent,,,Enterprise,community,22830,,22830,36,Southeast,false,false
Riverview Regional Medical Center,riverviewregional.com,http://www.riverviewregional.com,http://www.linkedin.com/company/riverviewregionalmedicalcenter,Healthcare,healthcare,Enterprise,new,"Gadsden, AL",600 South Third Street,Gadsden,AL,35901,+1 (256) 543-5200,1686,421500000,281,256.0,,,1917,https://twitter.com/theviewgadsden,https://www.facebook.com/RiverviewRegionalMedicalCenter,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696a49574a1638000118cc05/picture,Urban,RRC,us_hospital_list_2024,10046,5d0aa795a3ae618a75521753,Enterprise,32900.0,2741.67,independent,,,Enterprise,regional,29430,,29430,44,Southeast,false,false
Medical Center Enterprise,mcehospital.com,http://www.mcehospital.com,http://www.linkedin.com/company/medical-center-enterprise,Healthcare,healthcare,Enterprise,new,"Enterprise, AL",400 N Edwards Street,Enterprise,AL,36330,+1 (334) 347-0584,786,196500000,131,89.0,,,1921,,https://facebook.com/MedicalCenterEnterprise/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,PPS,us_hospital_list_2024,10049,56d54143f3e5bb199c00070d,Enterprise,24000,2000.0,independent,,,Enterprise,community,24930,,24930,36,Southeast,false,false
Greene County Hospital,greenecountyhospital.com,http://www.greenecountyhospital.com,http://www.linkedin.com/company/greene-county-general-hospital,Healthcare,healthcare,Standard,new,"Eutaw, AL",509 Wilson Avenue,Eutaw,AL,35462,+1 (812) 847-4481,120,30000000,20,20.0,,,1912,https://twitter.com/GC_GH,https://www.facebook.com/GreeneCountyGeneralHospital/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695e834dd553da00012d807b/picture,Rural,PPS,us_hospital_list_2024,10051,54a19dcc7468695475bb0302,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Southeast,false,false
Lake Martin Community Hospital,,,http://www.linkedin.com/company/lake-martin-community-hospital,Healthcare,healthcare,Standard,new,"Dadeville, AL",201 Mariarden Road,Dadeville,AL,36853,+1 (256) 825-7821,276,69000000,46,46.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Rural,MDH,us_hospital_list_2024,10052,66e501e8f7c2d60001c619e7,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Southeast,false,false
Flowers Hospital,flowershospital.com,http://www.flowershospital.com,http://www.linkedin.com/company/flowers-hospital,Healthcare,healthcare,Enterprise,new,"Dothan, AL",4370 West Main Street,Dothan,AL,36305,+1 (334) 793-5000,1410,352500000,235,194.0,,,1950,,https://facebook.com/flowershospital,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f25ced19e4b000171ed23/picture,Urban,RRC,us_hospital_list_2024,10055,54a128f269702d9313b15f01,Enterprise,30100.0,2508.33,independent,,,Enterprise,community,28050,,28050,42,Southeast,false,false
St. Vincent's Birmingham,,,http://www.linkedin.com/company/st-vincent's-birmingham-laboratory,Healthcare,healthcare,Enterprise Plus,new,"Birmingham, AL",810 St. Vincent's Drive,Birmingham,AL,35205,+1 (205) 939-7000,2454,613500000,409,399.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10056,67149b628d35110001e99477,Enterprise Plus,45500.0,3791.67,system_member,Ascension St. Vincent's (Alabama),medstar_ascension_al,Enterprise Plus,community,57270,5000.0,5000.0,32,Southeast,false,false
Bibb Medical Center,bibbmed.com,http://www.bibbmed.com,http://www.linkedin.com/company/bibb-medical-center,Healthcare,healthcare,Standard,new,"Centreville, AL",208 Pierson Ave,Centreville,AL,35042,+1 (205) 926-4881,210,52500000,35,25.0,,,1959,https://twitter.com/BibbMedical,https://www.facebook.com/bibbmedicalcenter,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686f0fcf21e24800019b496d/picture,Rural,PPS,us_hospital_list_2024,10058,54a19ecf7468695860e68602,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Southeast,false,false
Lawrence Medical Center,lawrencemedicalcenter.net,http://www.lawrencemedicalcenter.net,http://www.linkedin.com/company/lawrence-medical-center,Healthcare,healthcare,Enterprise,new,"Moulton, AL",202 Hospital Street,Moulton,AL,35650,+1 (978) 655-5290,588,147000000,98,43.0,,,2015,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/687d04c6db68a000016116a9/picture,Rural,PPS,us_hospital_list_2024,10059,559203f473696418c9001c00,Enterprise,22400,1866.67,independent,,,Enterprise,community,23940,,23940,36,Southeast,false,false
Highlands Medical Center,highlandsmedcenter.com,http://www.highlandsmedcenter.com,http://www.linkedin.com/company/highlands-medical-center,Healthcare,healthcare,Enterprise,new,"Scottsboro, AL",380 Woods Cove Road,Scottsboro,AL,35768,+1 (256) 259-4444,1020,255000000,170,45.0,,,,https://twitter.com/HMCscottsboro,https://facebook.com/HighlandsMedCenter,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696947dad17553000164f238/picture,Rural,SCH,us_hospital_list_2024,10061,54a12a4969702d8cfc283502,Enterprise,26200.0,2183.33,independent,,,Enterprise,community,26100,,26100,42,Southeast,false,false
Wiregrass Medical Center,wiregrassmedicalcenter.org,http://www.wiregrassmedicalcenter.org,http://www.linkedin.com/company/wiregrass-medical-center,Healthcare,healthcare,Enterprise,new,"Geneva, AL",1200 W Maple Avenue,Geneva,AL,36340,+1 (334) 684-3655,522,130500000,87,33.0,,,1950,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672784c85ab0bf0001c0887e/picture,Urban,PPS,us_hospital_list_2024,10062,54a1b8847468695860a3220b,Enterprise,21800,1816.67,independent,,,Enterprise,community,23610,,23610,36,Southeast,false,false
Russell Medical Center,,,http://www.linkedin.com/company/russell-county-medical-center-inc.,Healthcare,healthcare,Enterprise,new,"Alexander City, AL",3316 Highway 280,Alexander City,AL,35010,+1 (256) 329-7100,486,121500000,81,45.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,RRC,us_hospital_list_2024,10065,6732dcf19cc20b0001a399a6,Enterprise,21600,1800.0,independent,,,Enterprise,community,23430,,23430,36,Southeast,false,false
Medical Center Barbour,medctrbarbour.org,http://www.medctrbarbour.org,http://www.linkedin.com/company/medical-center-barbour,Healthcare,healthcare,Enterprise,new,"Eufaula, AL",820 W Washington St.,Eufaula,AL,36027,+1 (334) 688-7000,444,111000000,74,30.0,,,1953,https://twitter.com/barbourmedical,https://facebook.com/medctrbarbour,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6963c84da99a600001960c63/picture,Rural,SCH,us_hospital_list_2024,10069,5ed2264a80ceff0001278074,Enterprise,21200,1766.67,independent,,,Enterprise,community,23220,,23220,36,Southeast,false,false
Clay County Hospital,claycountyhospital.org,http://www.claycountyhospital.org,http://www.linkedin.com/company/clay-county-hospital-and-clinics,Healthcare,healthcare,Enterprise,new,"Ashland, AL",83825 Highway 9 P O Box 1270,Ashland,AL,36251,+1 (618) 662-2131,318,79500000,53,46.0,,,1924,https://twitter.com/ClayCoHospital,https://facebook.com/pages/Clay-County-Hospital/175682299169372,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6714e0b827f6ec0001533e26/picture,Rural,MDH,us_hospital_list_2024,10073,5d0a83a8a3ae6112d69d452e,Enterprise,20200,1683.33,independent,,,Enterprise,community,22590,,22590,36,Southeast,false,false
Northeast Alabama Regional Medical Center,,,,Healthcare,healthcare,Enterprise,new,"Anniston, AL",400 East 10th Street,Anniston,AL,36207,+1 (256) 235-5121,1938,484500000,323,295.0,,,,,,,Urban,RRC,us_hospital_list_2024,10078,,Enterprise,35400.0,2950.0,independent,,,Enterprise,regional,30690,,30690,44,Southeast,false,false
Athens Limestone Hospital,athenslimestonehospital.com,http://www.athenslimestonehospital.com,http://www.linkedin.com/company/athens-limestone-hospital,Healthcare,healthcare,Enterprise,new,"Athens, AL",700 West Market Street,Athens,AL,35611,+1 (256) 233-9292,426,106500000,71,66.0,,,1951,https://twitter.com/alhfoundation,https://www.facebook.com/ALHDevelopment/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6967e56526ef04000116c94e/picture,Rural,PPS,us_hospital_list_2024,10079,54a1b37c74686945faaf4c09,Enterprise,21000,1750.0,system_member,Huntsville Hospital Health System,huntsville_hospital,Enterprise,community,23130,4000.0,4000.0,32,Southeast,false,false
South Baldwin Regional Medical Center,,,,Healthcare,healthcare,Enterprise,new,"Foley, AL",1613 North Mckenzie Street,Foley,AL,36535,+1 (251) 949-3400,672,168000000,112,108.0,,,,,,,Rural,RRC,us_hospital_list_2024,10083,,Enterprise,23100,1925.0,independent,,,Enterprise,community,24360,,24360,36,Southeast,false,false
Decatur Morgan Hospital-Decatur Campus,,,http://www.linkedin.com/company/decatur-morgan-hospital---decatur-campus,Healthcare,healthcare,Enterprise Plus,new,"Decatur, AL",1201 7th Street Se,Decatur,AL,35601,+1 (256) 341-2000,2742,685500000,457,310.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,10085,66ef3459758a070001cc05f3,Enterprise Plus,47900.0,3991.67,system_member,Huntsville Hospital Health System,huntsville_hospital,Enterprise Plus,community,58710,5000.0,5000.0,32,Southeast,false,false
Northwest Medical Center,northwestmed.com,http://www.northwestmed.com,http://www.linkedin.com/company/northwest-medical-center,Healthcare,healthcare,Enterprise,new,"Winfield, AL",1530 U S Highway 43,Winfield,AL,35594,+1 (954) 974-0400,426,106500000,71,28.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e01b98d98fd0001bc2403/picture,Rural,MDH,us_hospital_list_2024,10086,5f5b4dc525188b00c7b100be,Enterprise,21000,1750.0,independent,,,Enterprise,community,23130,,23130,36,Southeast,false,false
Usa Health University Hospital,,,,Healthcare,healthcare,Enterprise Plus,new,"Mobile, AL",2451 Fillingim Street,Mobile,AL,36617,+1 (251) 471-7110,2436,609000000,406,264.0,,,,,,,Urban,RRC,us_hospital_list_2024,10087,,Enterprise Plus,45300.0,3775.0,independent,,,Enterprise Plus,academic,57180,,57180,51,Southeast,false,false
Walker Baptist Medical Center,,,http://www.linkedin.com/company/walker-baptist-medical-center,Healthcare,healthcare,Enterprise,new,"Jasper, AL",3400 Highway 78 East,Jasper,AL,35502,+1 (205) 387-4000,1602,400500000,267,207.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,SCH,us_hospital_list_2024,10089,6651f904cb729600012fa42c,Enterprise,32000.0,2666.67,system_member,Baptist Health (Multi-state),baptist_health_system,Enterprise,regional,29010,4500.0,4500.0,35,Southeast,false,false
Providence Hospital,,,http://www.linkedin.com/company/providence-hospital,Healthcare,healthcare,Enterprise,new,"Mobile, AL",6801 Airport Boulevard,Mobile,AL,36608,+1 (251) 633-1000,2094,523500000,349,349.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696744a3d1e97d000132a21a/picture,Urban,PPS,us_hospital_list_2024,10090,55920a10736964188a423200,Enterprise,37000.0,3083.33,system_member,Providence,providence,Enterprise,community,31470,4500.0,4500.0,32,Southeast,false,false
Grove Hill Memorial Hospital,gh-health.org,http://www.gh-health.org,http://www.linkedin.com/company/grove-hill-memorial-hospital,Healthcare,healthcare,Enterprise,new,"Grove Hill, AL",295 Jackson Hwy S,Grove Hill,AL,36451,+1 (251) 275-3191,300,75000000,50,21.0,,,,https://twitter.com/grovehillcare,https://www.facebook.com/grovehillmemorialhospital/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,PPS,us_hospital_list_2024,10091,655143794889ca0001152919,Enterprise,20000,1666.67,independent,,,Enterprise,community,22500,,22500,36,Southeast,false,false
Dch Regional Medical Center,,,http://www.linkedin.com/company/dch-regional-medical-center,Healthcare,healthcare,Enterprise Plus,new,"Tuscaloosa, AL",809 University Boulevard East,Tuscaloosa,AL,35401,+1 (205) 759-7111,4722,1180500000,787,398.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Urban,SCH/RRC,us_hospital_list_2024,10092,672727673ca5f700019d12b7,Enterprise Plus,64400.0,5366.67,system_member,DCH Health System,dch_health,Enterprise Plus,regional,68610,6000.0,6000.0,35,Southeast,false,false
Hale County Hospital,halecountyhospital.com,http://www.halecountyhospital.com,http://www.linkedin.com/company/hale-county-hospital,Healthcare,healthcare,Standard,new,"Greensboro, AL",508 Green Street,Greensboro,AL,36744,+1 (334) 624-3024,234,58500000,39,28.0,,,1963,,http://facebook.com/halecountyhospital,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696fb117056b5d00016ee9e7/picture,Rural,PPS,us_hospital_list_2024,10095,5a9eb094a6da98d954de042b,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Southeast,false,false
Elmore Community Hospital,,,http://www.linkedin.com/company/elmore-community-hospital,Healthcare,healthcare,Standard,new,"Wetumpka, AL",500 Hospital Drive,Wetumpka,AL,36092,+1 (334) 567-4311,228,57000000,38,33.0,,,1959,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10097,66ebffddaaebe000017a899a,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Southeast,false,false
D W Mcmillan Memorial Hospital,dwmmh.org,http://www.dwmmh.org,http://www.linkedin.com/company/d.-w.-mcmillan-memorial-hospital,Healthcare,healthcare,Enterprise,new,"Brewton, AL",1301 Belleville Avenue,Brewton,AL,36426,+1 (251) 867-8061,390,97500000,65,46.0,,,1954,,https://facebook.com/mcmillanhospital,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695d20d30515420001e3bc05/picture,Rural,PPS,us_hospital_list_2024,10099,6367f77d67f71100016a6286,Enterprise,20800,1733.33,independent,,,Enterprise,community,22950,,22950,36,Southeast,false,false
Thomas Hospital,stegh.on.ca,http://www.stegh.on.ca,http://www.linkedin.com/company/st-thomas-elgin-general-hospital,Healthcare,healthcare,Enterprise,new,"Fairhope, AL",750 Morphy Avenue,Fairhope,AL,36532,+1 (519) 631-2030,972,243000000,162,164.0,,,,https://twitter.com/stegh_cares,https://www.facebook.com/St.ThomasElginGeneralHospital/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6968debdf905bc00015da105/picture,Urban,RRC,us_hospital_list_2024,10100,54a13b9569702dac84db9601,Enterprise,25700.0,2141.67,system_member,Infirmary Health,mobile_infirmary,Enterprise,community,25860,4000.0,4000.0,32,Southeast,false,false
